Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   1 G 212    142     123.78      5.592		0.3039478444431334 | 0.03920881907943596

 R   1 G 213    140    123.402      5.482		0.02517965964503765 | 0.02360256997483811

 R   1 G 214    140    123.564      5.482		0.3039478444431334 | 0.03920881907943596

 R   1 G 215    142    123.512      5.472		0.2939478444431334 | 0.03920881907943596

 R   1 G 216    146     123.71      5.632		0.3139478444431334 | 0.029208819079435955

 R   1 G 217    144    123.698      5.519		0.2939478444431334 | 0.03920881907943596

 R   1 G 218    140     123.47      5.358		0.2939478444431334 | 0.03920881907943596

 R   1 G 219    142    123.444      5.581		0.2939478444431334 | 0.03920881907943596

 R   1 G 220    140    123.466       5.53		0.03517965964503765 | 0.02360256997483811

 R   1 G 221    140    123.476      5.185		0.2939478444431334 | 0.03920881907943596

 R   1 G 222    142     123.69      5.717		0.2939478444431334 | 0.03920881907943596

 R   1 G 223    142    123.632      5.531		0.3239478444431334 | 0.029208819079435955

 R   1 G 224    140    123.692      5.191		0.3239478444431334 | 0.029208819079435955

 R   1 G 225    142    123.858      5.511		0.3239478444431334 | 0.019208819079435953

 R   1 G 226    140    123.308      5.234		0.3039478444431334 | 0.03920881907943596

 R   1 G 227    140    123.426      5.365		0.2939478444431334 | 0.03920881907943596

 R   1 G 228    142    123.696       5.13		0.2939478444431334 | 0.03920881907943596

 R   1 G 229    140    123.452       5.61		0.2939478444431334 | 0.03920881907943596

 R   1 G 230    142    123.784      5.551		0.2939478444431334 | 0.03920881907943596

 R   1 G 231    144    123.492      5.534		0.2939478444431334 | 0.03920881907943596

 R   1 G 232    140    123.764      5.274		0.2939478444431334 | 0.03920881907943596

 R   1 G 233    144    123.626      5.479		0.2939478444431334 | 0.03920881907943596

 R   1 G 234    144     123.77      5.417		0.3039478444431334 | 0.029208819079435955

 R   1 G 235    146    123.996      5.563		0.2939478444431334 | 0.03920881907943596

 R   1 G 236    148    123.324      5.423		0.3139478444431334 | 0.029208819079435955

 R   1 G 237    138     123.36      5.367		0.2939478444431334 | 0.03920881907943596

 R   1 G 238    142    123.496      5.525		0.2939478444431334 | 0.03920881907943596

 R   1 G 239    146    123.604      5.644		0.3239478444431334 | 0.029208819079435955

 R   1 G 240    146    123.352      5.544		0.3139478444431334 | 0.029208819079435955

 R   1 G 241    144      123.5      5.473		0.2939478444431334 | 0.03920881907943596

 R   1 G 242    140    123.506      5.566		0.3139478444431334 | 0.029208819079435955

 R   1 G 243    140    123.888      5.458		0.3239478444431334 | 0.029208819079435955

 R   1 G 244    140     123.55      5.648		0.03517965964503765 | 0.03360256997483811

 R   1 G 245    142    123.352      5.358		0.02517965964503765 | 0.02360256997483811

 R   1 G 246    144     123.54      5.428		0.3039478444431334 | 0.029208819079435955

 R   1 G 247    142    123.718      5.482		0.3139478444431334 | 0.029208819079435955

 R   1 G 248    144      123.6       5.49		0.2939478444431334 | 0.03920881907943596

 R   1 G 249    144     124.01      5.361		0.2939478444431334 | 0.03920881907943596

 R   1 G 250    140    123.738      5.232		0.2939478444431334 | 0.03920881907943596

 R   1 G 251    146    123.656      5.424		0.2939478444431334 | 0.03920881907943596

 R   1 G 252    142     123.75      5.382		0.2939478444431334 | 0.03920881907943596

 R   1 G 253    142     123.48      5.245		0.3139478444431334 | 0.03920881907943596

 R   1 G 254    140    123.694      5.171		0.3139478444431334 | 0.03920881907943596

 R   1 G 255    142     123.75      5.214		0.3139478444431334 | 0.03920881907943596

 R   1 G 256    140    123.578        5.2		0.03517965964503765 | 0.043602569974838114

 R   1 G 257    140    123.486      5.007		0.03517965964503765 | 0.043602569974838114

 R   1 G 258    142    123.678      4.964		0.3239478444431334 | 0.019208819079435953

 R   1 G 259    142    123.574      5.347		0.3439478444431334 | 0.029208819079435955

 R   1 G 260    144     123.74      5.322		0.2939478444431334 | 0.03920881907943596

 R   1 G 261    142    123.476      5.344		0.3139478444431334 | 0.03920881907943596

 R   1 G 262    144    123.338      5.392		0.3139478444431334 | 0.03920881907943596

 R   1 G 263    146    123.496      5.641		0.3139478444431334 | 0.03920881907943596

 R   1 G 264    146      123.9       5.45		0.3339478444431334 | 0.03920881907943596

 R   1 G 265    142    123.646       5.16		0.3139478444431334 | 0.04920881907943596

 R   1 G 266    142    123.396      5.469		0.3439478444431334 | 0.029208819079435955

 R   1 G 267    146    123.574      5.418		0.2939478444431334 | 0.03920881907943596

 R   1 G 268    142     123.48      5.131		0.3339478444431334 | 0.029208819079435955

 R   1 G 269    140     123.29      5.191		0.3139478444431334 | 0.03920881907943596

 R   1 G 270    140     123.87      5.236		0.2939478444431334 | 0.03920881907943596

 R   1 G 271    142     123.53      5.332		0.3439478444431334 | 0.029208819079435955

