Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009
 R   1 G 310    229     220.48      3.472		0.997901979620712 | 0.005625362030093813

 R   1 G 311    229    220.988      3.293		0.997901979620712 | 0.005625362030093813

 R   1 G 312    229    220.632      3.537		0.997901979620712 | 0.0

 R   1 G 313    229    220.832      3.156		0.997901979620712 | 0.005625362030093813

 R   1 G 314    229    220.928      3.481		0.997901979620712 | 0.005625362030093813

 R   1 G 315    229    220.764      3.619		0.997901979620712 | 0.005625362030093813

 R   1 G 316    229    220.704      3.524		0.997901979620712 | 0.005625362030093813

 R   1 G 317    231    220.716      3.452		0.997901979620712 | 0.005625362030093813

 R   1 G 318    231     220.92      3.425		0.997901979620712 | 0.005625362030093813

 R   1 G 319    229    220.756      3.486		0.987901979620712 | 0.005625362030093813

 R   1 G 320    231    220.504      3.827		0.997901979620712 | 0.005625362030093813

 R   1 G 321    229    220.716      3.675		0.997901979620712 | 0.005625362030093813

 R   1 G 322    229    220.472      3.757		0.997901979620712 | 0.005625362030093813

 R   1 G 323    229    220.724      3.669		0.99 | 0.005625362030093813

 R   1 G 324    233    220.788      3.691		0.99 | 0.005625362030093813

 R   1 G 325    229    220.812      3.471		0.987901979620712 | 0.005625362030093813

 R   1 G 326    229    220.544      3.676		0.987901979620712 | 0.005625362030093813

 R   1 G 327    229    220.688      3.706		0.997901979620712 | 0.0

 R   1 G 328    229    220.616      3.896		0.987901979620712 | 0.005625362030093813

 R   1 G 329    229     220.52      3.717		0.997901979620712 | 0.005625362030093813

 R   1 G 330    229    220.796      3.545		0.987901979620712 | 0.005625362030093813

 R   1 G 331    229    220.568      3.602		0.997901979620712 | 0.005625362030093813

 R   1 G 332    229    221.024      3.383		1.0 | 0.005625362030093813

 R   1 G 333    229    220.488      3.738		0.997901979620712 | 0.0
